,user_id,Recency,Frequency,Monetary
0,USER_00001,81,1,5810.65
1,USER_00002,289,1,1785.23
2,USER_00019,153,2,5418.98
3,USER_00020,255,1,3619.0
4,USER_00025,67,1,8229.46
5,USER_00026,333,1,4519.11
6,USER_00028,26,4,15333.8
7,USER_00032,261,2,9306.11
8,USER_00033,123,1,4671.79
9,USER_00037,354,1,5217.66
10,USER_00038,127,1,6961.74
11,USER_00041,8,1,1241.3
12,USER_00042,120,1,2091.34
13,USER_00043,145,1,264.66
14,USER_00048,98,1,428.96
15,USER_00050,199,1,4438.38
16,USER_00051,252,3,15103.01
17,USER_00052,219,1,3274.56
18,USER_00056,346,1,3513.9
19,USER_00058,361,1,6031.6
20,USER_00059,18,1,7955.3
21,USER_00060,48,1,6364.07
22,USER_00061,68,2,8673.17
23,USER_00062,205,1,1435.01
24,USER_00063,53,2,11775.42
25,USER_00064,8,2,10594.960000000001
26,USER_00065,58,2,12880.17
27,USER_00066,315,1,7215.0
28,USER_00067,179,1,2425.73
29,USER_00069,54,2,12685.41
30,USER_00072,325,1,2055.35
31,USER_00073,139,1,7165.07
32,USER_00074,199,1,1803.15
33,USER_00080,2,2,928.0999999999999
34,USER_00081,126,1,7924.44
35,USER_00085,321,1,5162.86
36,USER_00086,166,1,7305.75
37,USER_00088,224,1,4315.45
38,USER_00091,23,1,8057.68
39,USER_00096,64,1,3643.98
40,USER_00098,281,1,5704.68
41,USER_00099,42,2,5860.33
42,USER_00102,17,1,8776.18
43,USER_00103,263,1,6282.37
44,USER_00106,36,1,410.21
45,USER_00107,33,2,8867.15
46,USER_00108,341,1,5449.7
47,USER_00110,323,1,667.02
48,USER_00111,124,3,12695.91
49,USER_00112,123,2,8406.039999999999
50,USER_00113,58,2,8714.01
51,USER_00115,168,1,3538.34
52,USER_00117,229,1,5371.82
53,USER_00119,213,1,4301.72
54,USER_00123,60,2,10144.69
55,USER_00124,253,1,710.4
56,USER_00126,5,3,15361.13
57,USER_00129,347,1,1786.58
58,USER_00130,314,1,6187.35
59,USER_00131,269,1,3470.38
60,USER_00132,165,2,9940.63
61,USER_00133,287,1,1794.43
62,USER_00136,164,2,6501.62
63,USER_00138,259,1,7281.74
64,USER_00141,190,2,12012.55
65,USER_00142,102,1,8850.1
66,USER_00143,228,1,1012.14
67,USER_00149,232,1,9483.78
68,USER_00150,92,3,5091.71
69,USER_00153,193,1,8297.55
70,USER_00160,46,3,9434.93
71,USER_00161,174,1,6479.56
72,USER_00163,190,1,6592.28
73,USER_00164,47,2,11099.230000000001
74,USER_00170,69,2,10038.46
75,USER_00173,300,1,2479.02
76,USER_00176,189,1,6747.22
77,USER_00178,94,1,6841.39
78,USER_00179,101,3,2518.51
79,USER_00185,85,3,19497.41
80,USER_00186,253,2,9876.880000000001
81,USER_00190,82,1,841.88
82,USER_00192,231,1,2716.83
